Lombardia,9943004
Lazio,5714882
Campania,5624420
Veneto,4847745
Sicilia,4833329
Emilia-Romagna,4425366
Piemonte,4256350
Puglia,3922941
Toscana,3663191
Calabria,1855454
Sardegna,1587413
Liguria,1509227
Marche,1487150
Abruzzo,1275950
Friuli Venezia Giulia,1194647
Trentino-Alto Adige,1073574
Umbria,858812
Basilicata,541168
Molise,292150
Valle dAosta,123360
